                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5433,                 3.4762,                 3.1865,                0.50505,                0.03864,                0.03583,                 0.0135,                 2.5728,                 2.0741,                 2.0773,             0.00016628,             0.00016628,             0.00016628
                      2,                 2.3522,                 1.8591,                 1.7848,                0.41722,                0.08244,                0.08912,                 0.0387,                  2.037,                 1.5436,                 1.5671,             0.00032636,             0.00032636,             0.00032636
                      3,                 2.0115,                  1.518,                 1.4936,                0.39341,                0.11864,                0.13583,                0.06346,                 1.8059,                 1.3418,                 1.3804,             0.00047983,             0.00047983,             0.00047983
                      4,                 1.8398,                 1.3401,                 1.3766,                0.33393,                0.16395,                0.16603,                0.08181,                 1.6787,                 1.1997,                 1.3113,              0.0004703,              0.0004703,              0.0004703
                      5,                 1.7079,                 1.2297,                 1.3059,                 0.3513,                0.18434,                 0.2017,                0.10247,                 1.5721,                 1.1233,                 1.2411,              0.0004604,              0.0004604,              0.0004604
                      6,                 1.6358,                 1.1535,                 1.2606,                0.31125,                0.18993,                0.20266,                0.10387,                 1.5258,                 1.0751,                 1.2187,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.5878,                 1.0993,                  1.234,                0.29412,                0.18101,                0.18841,                0.09541,                 1.5541,                 1.1021,                 1.2228,              0.0004406,              0.0004406,              0.0004406
                      8,                 1.5354,                 1.0513,                 1.1997,                0.31649,                0.23125,                0.24041,                0.12777,                  1.414,                0.97659,                 1.1599,              0.0004307,              0.0004307,              0.0004307
                      9,                 1.5009,                 1.0167,                 1.1861,                0.40779,                0.24981,                0.26334,                0.13994,                 1.3972,                0.95342,                 1.1558,              0.0004208,              0.0004208,              0.0004208
                     10,                 1.4624,                0.98074,                 1.1652,                 0.4214,                 0.2519,                0.27178,                0.14571,                 1.3636,                0.91205,                 1.1338,              0.0004109,              0.0004109,              0.0004109
                     11,                 1.4327,                0.95079,                 1.1496,                 0.4723,                0.26283,                0.27711,                0.14903,                 1.3346,                0.89931,                 1.1151,               0.000401,               0.000401,               0.000401
                     12,                 1.4172,                0.93937,                 1.1426,                0.54698,                0.27342,                0.28966,                0.15561,                 1.3327,                0.87326,                 1.1157,              0.0003911,              0.0003911,              0.0003911
                     13,                 1.3908,                0.91286,                 1.1293,                0.63093,                0.28401,                0.30499,                0.16671,                 1.2921,                0.85195,                 1.1002,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.3685,                0.89337,                 1.1171,                0.58644,                0.27615,                0.31623,                0.17269,                 1.2767,                  0.842,                 1.0922,              0.0003713,              0.0003713,              0.0003713
                     15,                 1.3605,                0.88035,                 1.1155,                0.57932,                0.28241,                0.37377,                0.19075,                 1.2732,                0.82962,                 1.0855,              0.0003614,              0.0003614,              0.0003614
                     16,                 1.3352,                0.86342,                  1.104,                 0.5823,                0.38576,                0.38087,                0.18098,                  1.253,                0.81569,                 1.0757,              0.0003515,              0.0003515,              0.0003515
                     17,                 1.3224,                0.84669,                 1.0974,                0.64357,                0.29985,                0.40162,                0.22317,                 1.2349,                0.78914,                 1.0669,              0.0003416,              0.0003416,              0.0003416
                     18,                  1.309,                0.83408,                 1.0886,                0.65263,                0.29545,                0.33022,                0.18196,                 1.2486,                0.80527,                 1.0756,              0.0003317,              0.0003317,              0.0003317
                     19,                 1.3028,                0.82809,                 1.0882,                0.65663,                0.31026,                0.41294,                0.22229,                 1.2306,                0.78595,                 1.0647,              0.0003218,              0.0003218,              0.0003218
                     20,                 1.3028,                 0.8246,                  1.078,                0.67387,                0.30518,                0.35181,                0.19798,                 1.2286,                0.77425,                 1.0587,              0.0003119,              0.0003119,              0.0003119
                     21,                 1.2937,                0.81472,                 1.0769,                0.74033,                0.31887,                  0.421,                0.22312,                 1.2129,                0.76166,                 1.0533,               0.000302,               0.000302,               0.000302
                     22,                 1.2821,                0.80161,                 1.0677,                0.74531,                0.31044,                0.38904,                0.20932,                 1.2125,                0.76249,                 1.0506,              0.0002921,              0.0002921,              0.0002921
                     23,                 1.2691,                0.79461,                  1.065,                0.68376,                0.31968,                0.39774,                0.21755,                  1.211,                0.75119,                  1.048,              0.0002822,              0.0002822,              0.0002822
                     24,                 1.2653,                0.78545,                 1.0588,                0.74633,                0.32832,                0.37805,                0.21507,                 1.1967,                0.74657,                 1.0404,              0.0002723,              0.0002723,              0.0002723
                     25,                 1.2495,                0.77735,                 1.0541,                0.68705,                0.32136,                0.36818,                0.20721,                  1.192,                0.73762,                 1.0373,              0.0002624,              0.0002624,              0.0002624
                     26,                 1.2467,                0.76745,                 1.0474,                0.76727,                0.33267,                0.43976,                 0.2322,                 1.1876,                0.73052,                 1.0362,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.2423,                 0.7632,                 1.0441,                0.71258,                0.32151,                 0.4062,                 0.2349,                 1.1857,                0.73306,                 1.0323,              0.0002426,              0.0002426,              0.0002426
                     28,                 1.2308,                0.75896,                 1.0416,                0.75981,                0.33163,                0.40455,                0.22979,                 1.1836,                0.72984,                 1.0315,              0.0002327,              0.0002327,              0.0002327
                     29,                 1.2308,                0.75528,                   1.04,                0.80117,                0.35961,                0.46858,                0.26255,                 1.1659,                0.71668,                 1.0249,              0.0002228,              0.0002228,              0.0002228
                     30,                 1.2153,                0.73966,                 1.0314,                0.76005,                0.39333,                0.47883,                0.26863,                 1.1645,                0.71467,                  1.025,              0.0002129,              0.0002129,              0.0002129
                     31,                 1.2141,                0.73634,                 1.0283,                0.69476,                0.41863,                0.45784,                0.26977,                 1.1621,                0.71022,                 1.0216,               0.000203,               0.000203,               0.000203
                     32,                 1.2045,                0.73067,                 1.0267,                0.77672,                0.33582,                0.43772,                0.25538,                 1.1583,                0.70394,                 1.0173,              0.0001931,              0.0001931,              0.0001931
                     33,                 1.1941,                0.72125,                 1.0252,                0.72206,                0.40188,                0.46766,                0.27153,                 1.1547,                 0.7035,                 1.0161,              0.0001832,              0.0001832,              0.0001832
                     34,                 1.1932,                 0.7178,                 1.0197,                0.77938,                0.34045,                0.45232,                0.26591,                 1.1541,                0.69959,                  1.016,              0.0001733,              0.0001733,              0.0001733
