                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0168,                  4.492,                 3.6276,                 0.8272,                0.01378,                0.00549,                0.00147,                  3.436,                 3.2645,                 2.8522,              0.0033257,              0.0033257,              0.0033257
                      2,                  2.914,                 2.7251,                 2.2299,                0.75996,                0.02976,                0.03275,                0.01208,                 2.5603,                 2.5311,                 2.0035,              0.0065931,              0.0065931,              0.0065931
                      3,                 2.4199,                 2.2054,                 1.8089,                0.51826,                0.07538,                0.06114,                0.02631,                 2.1635,                 1.9059,                 1.6847,              0.0097945,              0.0097945,              0.0097945
                      4,                 2.1621,                 1.8735,                 1.6078,                0.24915,                0.08721,                0.07822,                0.03415,                  2.012,                 1.6947,                 1.5624,               0.009703,               0.009703,               0.009703
                      5,                 2.0021,                 1.6455,                 1.4953,                0.29363,                0.11587,                0.11142,                0.05098,                  1.841,                 1.4709,                 1.4232,               0.009703,               0.009703,               0.009703
                      6,                 1.8988,                 1.5042,                 1.4313,                 0.3027,                0.13459,                0.12542,                0.05797,                 1.7857,                 1.3833,                 1.3946,               0.009604,               0.009604,               0.009604
                      7,                 1.8168,                 1.3977,                 1.3813,                0.32697,                0.14219,                0.14418,                0.07012,                 1.7022,                 1.3297,                 1.3454,               0.009505,               0.009505,               0.009505
                      8,                  1.758,                 1.3357,                 1.3522,                  0.314,                0.16876,                 0.1658,                0.08289,                  1.617,                 1.2236,                 1.2981,               0.009406,               0.009406,               0.009406
                      9,                  1.713,                 1.2794,                 1.3202,                0.29685,                0.16773,                0.17388,                0.08727,                 1.6027,                 1.1744,                 1.2814,               0.009307,               0.009307,               0.009307
                     10,                 1.6717,                 1.2274,                  1.296,                0.34918,                0.17811,                0.18806,                0.09264,                 1.5481,                 1.1351,                 1.2524,               0.009208,               0.009208,               0.009208
                     11,                 1.6362,                 1.1975,                 1.2757,                0.30705,                 0.1954,                0.19864,                0.10033,                 1.5298,                 1.1003,                 1.2382,               0.009109,               0.009109,               0.009109
                     12,                 1.6195,                 1.1709,                 1.2625,                0.29029,                0.19732,                0.20773,                0.10703,                 1.4956,                  1.071,                  1.221,                0.00901,                0.00901,                0.00901
                     13,                 1.5907,                 1.1405,                 1.2534,                0.29565,                0.21572,                0.21897,                0.11021,                 1.4816,                  1.055,                 1.2143,               0.008911,               0.008911,               0.008911
                     14,                  1.577,                 1.1231,                 1.2413,                0.31677,                0.20675,                0.22094,                0.11385,                 1.4596,                 1.0405,                 1.2061,               0.008812,               0.008812,               0.008812
                     15,                 1.5516,                 1.1024,                 1.2282,                0.31266,                0.21778,                 0.2318,                0.11997,                 1.4366,                 1.0105,                 1.1933,               0.008713,               0.008713,               0.008713
                     16,                 1.5372,                 1.0865,                 1.2233,                0.32991,                0.22901,                0.23881,                0.12614,                 1.4337,                 1.0035,                 1.1884,               0.008614,               0.008614,               0.008614
                     17,                 1.5194,                 1.0716,                 1.2119,                0.34793,                0.22241,                0.24252,                0.12516,                 1.4276,                0.99055,                 1.1798,               0.008515,               0.008515,               0.008515
                     18,                 1.5179,                 1.0597,                 1.2077,                0.32021,                0.22857,                0.24252,                0.12786,                 1.4038,                 0.9811,                 1.1656,               0.008416,               0.008416,               0.008416
                     19,                 1.4982,                 1.0424,                 1.1954,                0.31448,                0.23309,                0.24112,                0.12693,                 1.4041,                0.97787,                 1.1613,               0.008317,               0.008317,               0.008317
                     20,                 1.4942,                  1.037,                 1.1934,                0.33719,                0.24474,                0.26142,                0.13874,                 1.3871,                0.95411,                 1.1636,               0.008218,               0.008218,               0.008218
                     21,                 1.4665,                 1.0149,                 1.1774,                0.33896,                0.23777,                  0.255,                0.13817,                  1.382,                 0.9537,                 1.1525,               0.008119,               0.008119,               0.008119
                     22,                 1.4672,                 1.0098,                 1.1736,                0.31188,                0.25029,                0.25688,                0.13878,                 1.3717,                0.93999,                 1.1465,                0.00802,                0.00802,                0.00802
                     23,                 1.4631,                  1.011,                  1.174,                0.34475,                 0.2469,                0.26376,                0.14105,                 1.3649,                0.93347,                  1.138,               0.007921,               0.007921,               0.007921
                     24,                 1.4627,                0.99953,                 1.1639,                0.35919,                0.25142,                0.27127,                0.14422,                 1.3725,                0.93381,                  1.138,               0.007822,               0.007822,               0.007822
                     25,                  1.462,                 1.0025,                 1.1628,                0.35247,                0.24923,                0.26993,                0.14581,                 1.3686,                0.93542,                 1.1349,               0.007723,               0.007723,               0.007723
                     26,                 1.4583,                0.99358,                 1.1536,                0.35317,                0.25867,                0.27055,                0.14631,                 1.3583,                0.91967,                 1.1286,               0.007624,               0.007624,               0.007624
                     27,                 1.4544,                0.99634,                 1.1569,                0.35872,                0.26063,                0.27869,                0.15143,                 1.3532,                0.91607,                 1.1235,               0.007525,               0.007525,               0.007525
