                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5847,                 2.0701,                 1.0907,                0.71018,                0.16504,                0.17163,                0.09627,                 1.4372,                 1.2688,                 1.0446,             0.00018491,             0.00018491,             0.00018491
                      2,                 1.4846,                 1.3116,                 1.0695,                0.49216,                0.19124,                0.20325,                0.11235,                  1.399,                 1.1354,                 1.0322,             0.00035191,             0.00035191,             0.00035191
                      3,                 1.4777,                 1.2268,                 1.0672,                0.43003,                0.23031,                0.22824,                0.12061,                 1.4006,                 1.0925,                 1.0329,             0.00050057,             0.00050057,             0.00050057
                      4,                 1.4456,                  1.143,                 1.0566,                0.45936,                0.24283,                 0.2467,                0.13285,                  1.362,                 1.0171,                 1.0272,             0.00047343,             0.00047343,             0.00047343
                      5,                   1.43,                 1.0939,                 1.0518,                0.51187,                0.25232,                0.26543,                0.14442,                  1.354,                0.98943,                 1.0182,             0.00047343,             0.00047343,             0.00047343
                      6,                 1.4134,                 1.0539,                  1.042,                0.47172,                0.28036,                0.27878,                0.15024,                 1.3403,                0.96385,                 1.0106,             0.00044591,             0.00044591,             0.00044591
                      7,                 1.3913,                 1.0265,                 1.0341,                0.62451,                0.27582,                0.28182,                0.15479,                 1.3198,                0.93979,                 1.0087,             0.00041839,             0.00041839,             0.00041839
                      8,                 1.3721,                 0.9962,                 1.0279,                0.63645,                0.27238,                0.29196,                0.16226,                 1.3177,                 0.9196,                 1.0017,             0.00039087,             0.00039087,             0.00039087
                      9,                 1.3555,                0.97468,                 1.0228,                0.56069,                0.28894,                0.29991,                0.16606,                 1.2922,                0.90589,                 1.0003,             0.00036335,             0.00036335,             0.00036335
                     10,                 1.3487,                 0.9576,                 1.0172,                0.66324,                 0.2917,                  0.318,                0.17691,                 1.2811,                0.89244,                0.99218,             0.00033582,             0.00033582,             0.00033582
                     11,                 1.3333,                0.93463,                 1.0139,                0.64878,                0.29152,                0.35814,                0.18416,                 1.2751,                0.89506,                0.99373,              0.0003083,              0.0003083,              0.0003083
                     12,                  1.319,                0.90918,                 1.0074,                0.66285,                0.30254,                0.35301,                0.19255,                 1.2659,                0.87174,                0.98847,             0.00028078,             0.00028078,             0.00028078
                     13,                 1.3006,                0.88798,                0.99971,                0.66208,                0.30814,                0.33459,                0.18617,                  1.259,                0.86405,                0.98475,             0.00025326,             0.00025326,             0.00025326
                     14,                 1.2893,                0.87738,                0.99727,                0.68885,                0.31452,                0.35074,                0.19272,                  1.245,                 0.8505,                0.98092,             0.00022574,             0.00022574,             0.00022574
                     15,                 1.2775,                0.86258,                0.99344,                0.67145,                0.31498,                0.35962,                0.19933,                 1.2401,                0.83866,                0.98115,             0.00019821,             0.00019821,             0.00019821
                     16,                 1.2716,                0.85329,                0.98948,                0.67134,                0.31779,                0.36558,                 0.2075,                 1.2323,                0.83149,                0.97639,             0.00017069,             0.00017069,             0.00017069
                     17,                  1.255,                0.83718,                0.98436,                0.67399,                0.33602,                0.36931,                0.20736,                 1.2216,                0.81623,                0.97331,             0.00014317,             0.00014317,             0.00014317
                     18,                  1.245,                0.82585,                0.98071,                0.70308,                0.32086,                0.39096,                0.21529,                 1.2183,                0.81267,                0.97236,             0.00011565,             0.00011565,             0.00011565
                     19,                  1.241,                0.81737,                0.97869,                0.63094,                 0.3658,                0.38908,                0.21719,                 1.2126,                0.80556,                0.96958,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     20,                 1.2314,                0.80697,                0.97391,                0.62377,                0.36931,                0.40186,                0.22513,                 1.2031,                0.79443,                0.96464,             6.0604e-05,             6.0604e-05,             6.0604e-05
